indicatorId,source,outcomeId,geographyId,period,metricKind,value,count,denominator,ciLow,ciHigh,dataStatus,periodStatus,suppressed,manifestRef
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,rest_of_rj_excluding_vr,2013,crude_rate_per_100k,16.07930936200094,2590,,15.465960907536724,16.71074553825586,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,rj_total,2013,crude_rate_per_100k,16.164524806039445,2646,,15.554422886754747,16.79242422438123,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,volta_redonda,2013,crude_rate_per_100k,21.41311247237326,56,,16.17523504050528,27.80670766038228,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,brazil_total,2014,crude_rate_per_100k,25.40926438093495,51522,,25.1903282252665,25.629630058314905,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,rest_of_rj_excluding_vr,2014,crude_rate_per_100k,14.087364128237239,2282,,13.51524359632146,14.677478207190743,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,rj_total,2014,crude_rate_per_100k,14.415740603661721,2373,,13.841504798533503,15.007680884597402,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,volta_redonda,2014,crude_rate_per_100k,34.69852321559985,91,,27.937086428618688,42.60209751297293,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,brazil_total,2015,crude_rate_per_100k,27.273165388187316,55760,,27.047257248674725,27.500491210660755,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,rest_of_rj_excluding_vr,2015,crude_rate_per_100k,18.30288031217923,2981,,17.651682849919904,18.97195828300932,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
sih-acute-bronchitis-bronchiolitis,SIH,acute_bronchitis_bronchiolitis,rj_total,2015,crude_rate_per_100k,18.259792251660784,3022,,17.614510444211117,18.922669722733048,source_observed,complete_annual,False,reports/quality/respiratory_rates_manifest.json
